month,Total Aircraft Arrivals And Departures,Total Passengers
1980-01,6501,566879
1980-02,6112,552263
1980-03,6391,597644
1980-04,6247,561218
1980-05,6301,587003
1980-06,6094,594860
1980-07,6279,618380
1980-08,6553,684907
1980-09,6245,585076
1980-10,6461,611995
1980-11,6326,640824
1980-12,6461,693500
1981-01,6294,630711
1981-02,5784,619577
1981-03,6258,645765
1981-04,5752,629547
1981-05,5872,627592
1981-06,5757,674922
1981-07,6009,706279
1981-08,6069,774005
1981-09,5849,665399
1981-10,5944,688913
1981-11,5755,716405
1981-12,6022,773043
1982-01,5958,729142
1982-02,5375,636075
1982-03,5921,693735
1982-04,5638,667589
1982-05,5590,675233
1982-06,5545,731708
1982-07,5738,762582
1982-08,5777,794148
1982-09,5641,700226
1982-10,5754,707962
1982-11,5457,731550
1982-12,5765,781862
1983-01,5671,686749
1983-02,5282,655858
1983-03,5649,697684
1983-04,5484,667350
1983-05,5685,701404
1983-06,5498,737906
1983-07,5658,742363
1983-08,5828,795479
1983-09,5674,723604
1983-10,5815,716388
1983-11,5556,724244
1983-12,5794,830123
1984-01,5746,734069
1984-02,5512,706296
1984-03,5795,720520
1984-04,5702,762504
1984-05,5932,779161
1984-06,5875,803912
1984-07,5998,810193
1984-08,6112,880911
1984-09,5902,790793
1984-10,5988,787115
1984-11,5925,790133
1984-12,6187,900044
1985-01,6108,768508
1985-02,5688,751999
1985-03,6181,834356
1985-04,6061,784903
1985-05,6157,775913
1985-06,6104,877773
1985-07,6147,836088
1985-08,6374,907057
1985-09,6139,798452
1985-10,6137,790129
1985-11,5932,803441
1985-12,6195,928211
1986-01,6127,807085
1986-02,5696,771454
1986-03,6212,806335
1986-04,6045,773449
1986-05,6268,772100
1986-06,6049,872208
1986-07,6247,874633
1986-08,6358,928049
1986-09,6003,837989
1986-10,6039,825774
1986-11,5863,846396
1986-12,6115,952247
1987-01,6161,885309
1987-02,5619,808397
1987-03,6340,874058
1987-04,6113,853540
1987-05,6422,880365
1987-06,6288,962928
1987-07,6508,1006201
1987-08,6763,1045218
1987-09,6320,928063
1987-10,6464,936870
1987-11,6392,942284
1987-12,6886,1080560
1988-01,6729,969411
1988-02,6516,947520
1988-03,6727,1020237
1988-04,6698,978738
1988-05,6975,968082
1988-06,6856,1057159
1988-07,7147,1106853
1988-08,7240,1137586
1988-09,6792,1036348
1988-10,7048,1056306
1988-11,7069,1100585
1988-12,7133,1216461
1989-01,6952,1107283
1989-02,6516,1050398
1989-03,7145,1160644
1989-04,7190,1089718
1989-05,7365,1100198
1989-06,7209,1171689
1989-07,7342,1222448
1989-08,7343,1240544
1989-09,7260,1195918
1989-10,7562,1196750
1989-11,7593,1244156
1989-12,7944,1356621
1990-01,8070,1272188
1990-02,7358,1183722
1990-03,8130,1296306
1990-04,7891,1236082
1990-05,8250,1250117
1990-06,7930,1318779
1990-07,8123,1324661
1990-08,8214,1384333
1990-09,8009,1257513
1990-10,8337,1280024
1990-11,8433,1334484
1990-12,8930,1482549
1991-01,8615,1233440
1991-02,7883,1087214
1991-03,8600,1200026
1991-04,8572,1238184
1991-05,9015,1246966
1991-06,8981,1467963
1991-07,9198,1405019
1991-08,9303,1505693
1991-09,9033,1391759
1991-10,9455,1403076
1991-11,9733,1475565
1991-12,10340,1630134
1992-01,10196,1421867
1992-02,9736,1464483
1992-03,10093,1408279
1992-04,10001,1432848
1992-05,10475,1367468
1992-06,10222,1542834
1992-07,10703,1574162
1992-08,10741,1626682
1992-09,10415,1498673
1992-10,10752,1473008
1992-11,10804,1557646
1992-12,11388,1732205
1993-01,11322,1650043
1993-02,10020,1419927
1993-03,11192,1597919
1993-04,11181,1565152
1993-05,11544,1537191
1993-06,11308,1717822
1993-07,11681,1717189
1993-08,11702,1825434
1993-09,11235,1608241
1993-10,11729,1658633
1993-11,11592,1738822
1993-12,12256,1950841
1994-01,11985,1690558
1994-02,11212,1674645
1994-03,12091,1833797
1994-04,11797,1693219
1994-05,12175,1648928
1994-06,11920,1811503
1994-07,12241,1879921
1994-08,12242,1953458
1994-09,11941,1767093
1994-10,12413,1783161
1994-11,12363,1837525
1994-12,12954,2070869
1995-01,12818,1882522
1995-02,11755,1731013
1995-03,13002,1891114
1995-04,12806,1783931
1995-05,13047,1794882
1995-06,12773,1940256
1995-07,13195,2016698
1995-08,13237,2077971
1995-09,12785,1919314
1995-10,13303,1934830
1995-11,13461,2003006
1995-12,14152,2220703
1996-01,13768,1892839
1996-02,13259,1919938
1996-03,13823,2036719
1996-04,13606,1942508
1996-05,14165,1918785
1996-06,13790,2128942
1996-07,14150,2067977
1996-08,14094,2137310
1996-09,13588,1908094
1996-10,14091,2010634
1996-11,13857,2144333
1996-12,14558,2406169
1997-01,14380,2041433
1997-02,13299,2065920
1997-03,14593,2194442
1997-04,14138,2005286
1997-05,14667,2005959
1997-06,14319,2226839
1997-07,14700,2204621
1997-08,14634,2165016
1997-09,14161,2056664
1997-10,14505,1913596
1997-11,14354,2007658
1997-12,14922,2286910
1998-01,14684,1938798
1998-02,12882,1752422
1998-03,14033,1895942
1998-04,13560,1913054
1998-05,14287,1945342
1998-06,13431,2017927
1998-07,13782,1977846
1998-08,13706,2082829
1998-09,13348,1902633
1998-10,13957,2008947
1998-11,13601,2037230
1998-12,13971,2330210
1999-01,13831,2092950
1999-02,12675,1973070
1999-03,14001,2158459
1999-04,13604,2002629
1999-05,14044,2024338
1999-06,13796,2241423
1999-07,14089,2229213
1999-08,14008,2278976
1999-09,13605,2147672
1999-10,14080,2220387
1999-11,13780,2309505
1999-12,14448,2386023
2000-01,14152,2221797
2000-02,13648,2215569
2000-03,14517,2345783
2000-04,14189,2371910
2000-05,14523,2271392
2000-06,14324,2419411
2000-07,14726,2473812
2000-08,14796,2466113
2000-09,14401,2380969
2000-10,14941,2410924
2000-11,14601,2426484
2000-12,15138,2614036
2001-01,15253,2467100
2001-02,13699,2126733
2001-03,15284,2451966
2001-04,14893,2314821
2001-05,15503,2300020
2001-06,15092,2447201
2001-07,15393,2513806
2001-08,15377,2481805
2001-09,14818,2285790
2001-10,14898,2096942
2001-11,14302,2094570
2001-12,14848,2513005
2002-01,14563,2265051
2002-02,13227,2207855
2002-03,14587,2496235
2002-04,14187,2340976
2002-05,14784,2393972
2002-06,14299,2456221
2002-07,14796,2478260
2002-08,14867,2496030
2002-09,14420,2345354
2002-10,15050,2398719
2002-11,14666,2349313
2002-12,15374,2751358
2003-01,15268,2473455
2003-02,13977,2242013
2003-03,15254,2217884
2003-04,11780,1168611
2003-05,9555,1003619
2003-06,9859,1527529
2003-07,11727,2121034
2003-08,12377,2258839
2003-09,12498,2243004
2003-10,13422,2301146
2003-11,14005,2404322
2003-12,14624,2702681
2004-01,14695,2516148
2004-02,13481,2173157
2004-03,14724,2365455
2004-04,14768,2370567
2004-05,15490,2375387
2004-06,15273,2603192
2004-07,15809,2679107
