month,Total Mail
1980-01,619
1980-02,593
1980-03,642
1980-04,642
1980-05,646
1980-06,633
1980-07,668
1980-08,640
1980-09,653
1980-10,716
1980-11,728
1980-12,872
1981-01,685
1981-02,629
1981-03,760
1981-04,667
1981-05,704
1981-06,665
1981-07,752
1981-08,666
1981-09,689
1981-10,717
1981-11,711
1981-12,890
1982-01,616
1982-02,607
1982-03,704
1982-04,659
1982-05,686
1982-06,675
1982-07,696
1982-08,650
1982-09,660
1982-10,723
1982-11,733
1982-12,920
1983-01,649
1983-02,593
1983-03,723
1983-04,713
1983-05,722
1983-06,732
1983-07,747
1983-08,732
1983-09,787
1983-10,813
1983-11,776
1983-12,1043
1984-01,786
1984-02,650
1984-03,770
1984-04,724
1984-05,749
1984-06,758
1984-07,762
1984-08,750
1984-09,723
1984-10,786
1984-11,831
1984-12,997
1985-01,763
1985-02,762
1985-03,837
1985-04,844
1985-05,942
1985-06,827
1985-07,845
1985-08,882
1985-09,832
1985-10,881
1985-11,918
1985-12,1119
1986-01,855
1986-02,705
1986-03,914
1986-04,835
1986-05,909
1986-06,763
1986-07,828
1986-08,773
1986-09,728
1986-10,800
1986-11,808
1986-12,1031
1987-01,701
1987-02,678
1987-03,780
1987-04,807
1987-05,828
1987-06,756
1987-07,820
1987-08,756
1987-09,742
1987-10,811
1987-11,836
1987-12,1044
1988-01,786
1988-02,675
1988-03,759
1988-04,721
1988-05,679
1988-06,707
1988-07,781
1988-08,732
1988-09,741
1988-10,828
1988-11,874
1988-12,1178
1989-01,764
1989-02,671
1989-03,773
1989-04,799
1989-05,790
1989-06,755
1989-07,737
1989-08,750
1989-09,773
1989-10,834
1989-11,856
1989-12,1101
1990-01,718
1990-02,662
1990-03,785
1990-04,670
1990-05,703
1990-06,663
1990-07,677
1990-08,648
1990-09,643
1990-10,692
1990-11,811
1990-12,1022
1991-01,670
1991-02,690
1991-03,839
1991-04,831
1991-05,875
1991-06,831
1991-07,829
1991-08,814
1991-09,813
1991-10,685
1991-11,723
1991-12,1113
1992-01,869
1992-02,790
1992-03,880
1992-04,882
1992-05,895
1992-06,857
1992-07,940
1992-08,884
1992-09,896
1992-10,1174
1992-11,1282
1992-12,1672
1993-01,1072
1993-02,1076
1993-03,1184
1993-04,1141
1993-05,1257
1993-06,1059
1993-07,1173
1993-08,1106
1993-09,1204
1993-10,1312
1993-11,1397
1993-12,1705
1994-01,1235
1994-02,1184
1994-03,1374
1994-04,1213
1994-05,1248
1994-06,1291
1994-07,1182
1994-08,1366
1994-09,1475
1994-10,1485
1994-11,1732
1994-12,2154
1995-01,1470
1995-02,1321
1995-03,1571
1995-04,1429
1995-05,1513
1995-06,1402
1995-07,1426
1995-08,1519
1995-09,1616
1995-10,1668
1995-11,1801
1995-12,2327
1996-01,1722
1996-02,1551
1996-03,1687
1996-04,1488
1996-05,1645
1996-06,1594
1996-07,1649
1996-08,1598
1996-09,1648
1996-10,1788
1996-11,2036
1996-12,2546
1997-01,1741
1997-02,1483
1997-03,1877
1997-04,1732
1997-05,1830
1997-06,1683
1997-07,1760
1997-08,1692
1997-09,1851
1997-10,1895
1997-11,1876
1997-12,2370
1998-01,1667
